mẹ cô ấy	cô ấy mẹ
Ông Hoàng_Văn_Thiện cho_biết , mỗi buổi_sáng , ông chủ người Trung_Quốc mang thùng catton đựng đầy các lọ nhựa hóa_chất để hòa vào bể dã_chiến phủ bạt đầy nước	Hoàng_Văn_Thiện cho_biết buổi_sáng chủ Trung_Quốc thùng catton mang lọ nhựa hóa_chất đựng hòa vào bể dã_chiến phủ bạt đầy nước
con hãy ngừng ngay cái việc đáng đánh_đòn ấy	ngừng ngay việc đáng đánh_đòn
mày câm cái mồm đi	mày mồm câm
bỏ xuống đây	bỏ xuống đây
ăn gì to_lớn đẫy_đà làm_sao	ăn gì to_lớn đẫy_đà làm_sao
thế_thì có khổ cho tôi không	thế_thì tôi khổ
người đâu mà vô_tâm	người đâu mà vô_tâm
tổ_quốc có bao_giờ đẹp thế_này chăng	tổ_quốc có bao_giờ đẹp thế_này chăng
nhằm thẳng quân_thù , bắn	nhằm quân_thù bắn
ngủ đi	
mây ơi , hãy ngừng trôi	mây trôi hãy ngừng
lá ơi , đừng rụng nữa	lá ơi rụng đừng
đừng xanh như lá , bạc như vôi	xanh như lá bạc như vôi đừng
hãy tươi mãi màu xanh_tươi ánh thép	màu xanh_tươi tươi mãi ánh thép hãy
xin các bạn giữ trật_tự	xin bạn trật_tự
các bạn giữ trật_tự	bạn trật_tự
các bạn có giữ trật_tự không nào	bạn trật_tự không
anh_ta có tài mà chẳng có đức	anh_ta tài có đức chẳng có
việc này khó lắm đấy	việc này khó lắm đấy
em ơi , buồn làm_chi	em buồn làm_chi
thế có khổ không	thế khổ có
những ngày tôi đang sống đáng sống bao_nhiêu	những ngày tôi sống đáng sống bao_nhiêu
đẹp quá nhỉ	đẹp quá
cuốn truyện này rất hay	cuốn truyện này hay
cuốn truyện này không hay	cuốn truyện này hay không
cuốn truyện này không hay lắm	cuốn truyện này hay không
thanh này không dài bằng thanh kia	thanh này thanh kia không dài bằng
thanh này ngắn hơn thanh kia	thanh này thanh kia ngắn hơn
rẻ thì_có rẻ , nhưng không đẹp	rẻ thì_có rẻ nhưng đẹp không
nó có giận anh thật , nhưng không ghét anh đâu	anh nó giận có nhưng ghét không
cháu đã làm bài thi toán	cháu bài thi toán làm đã
bài thi toán cháu được nửa điểm	bài thi toán cháu nửa điểm
vì_thế là nhiều đối_với cháu	vì_thế đối_với cháu nhiều
cháu kén quá đấy	cháu kén quá
còn bạc còn tiền còn đệ_tử	bạc còn tiền còn đệ_tử còn
Nam trêu em bé	bé Nam trêu
em bé khóc	bé khóc
gió đánh cành tre	cành tre gió đánh
gió thổi , mây bay	thổi gió bay mây
công_việc đang bộn_bề	công_việc bộn_bề
mọi lí_thuyết đều xám	lí_thuyết mọi xám đều
Nam là học_sinh giỏi	Nam học_sinh giỏi
đáng tiếc thật	thật tiếc
đèn đêm đã bật , sân_bay lại bắt_đầu làm_việc	đèn đêm bật sân_bay bắt_đầu làm_việc
vào đâu tre cũng sống , ở đâu tre cũng xanh tốt	vào đâu tre sống đâu tre xanh tốt
nước reo quanh chân lúa , lúa rung lên , lòng người cũng rung lên	nước quanh chân lúa reo lúa rung lòng người rung
ngoài đình , trống lại thúc , mõ lại khua , tù_và rúc liên_thanh bất chỉ	ngoài đình trống thúc mõ khua tù_và liên_thanh rúc
cằm ông bạnh ra , mắt ông trợn_trừng , cả người ông như một pho tượng bằng đồng_đen cuồn_cuộn những bắp_thịt	cằm ông bạnh ra mắt trợn_trừng cả người pho tượng bằng đồng_đen cuồn_cuộn bắp_thịt
những chiếc ô_tô chạy đi , chạy lại như những con_thoi , máy_bay_phản_lực rít ào_ào và len_lỏi giữa tất_cả những ô_tô , máy_bay ấy có một chiếc xe_đạp ba bánh	ô_tô chạy đi chạy như con_thoi máy_bay_phản_lực rít và len_lỏi máy_bay chiếc xe_đạp ba bánh có
cái Tý hai hàng nước_mắt ròng_ròng , hôn_hít các em một lượt , rồi lủi_thủi , nó đội mê nón trên đầu và cắp gói áo vào nách	Tý nước_mắt ròng_ròng em hôn_hít nón đội mê trên đầu gói áo vào nách cắp
nước ta là một , dân_tộc ta là một	nước một dân_tộc một
nhân_dân như nước , bộ_đội như cá	nhân_dân nước bộ_đội cá
mọi người đi rồi chỉ còn thằng bé Tun ở nhà	người đi chỉ còn thằng bé Tun nhà ở
hoa bưởi thơm rồi : đêm đã khuya	hoa bưởi thơm đêm khuya
Lương bật đèn_pin nhìn đồng_hồ tay : hai giơ rưỡi sáng	Lương đèn_pin bật đồng_hồ tay nhìn giờ hai rưỡi sáng
bên vệ đường có hai cha_con làm_ruộng : cha đánh cày , con đập đất	vệ đường cha_con làm_ruộng hai cha cày đánh con đất đập
chị Hoàng chạy lại buýp phê lấy một quyển sách bìa dày gáy da đem lại	Hoàng sách một lấy bìa dày da gáy đem
mình đọc hay tôi đọc	mình đọc hay tôi đọc
hoặc là chúng_ta phải nghĩ tới nhân_dân ; hoặc là chúng_ta chỉ lo_lắng cho riêng mình	chúng_ta nhân_dân nghĩ chúng_ta mình lo_lắng
chợ không họp vì không phải phiên	chợ không họp vì không phải phiên
người_ta đã yêu_mến anh là vì_thế	người_ta anh yêu_mến
hai mục_đích khác_nhau , nên phương_pháp khoa_học và kỹ_thuật để đạt đến mục_đích cũng khác_nhau	mục_đích hai khác_nhau phương_pháp khoa_học kỹ_thuật đạt mục_đích khác_nhau
em đã sống , bởi_vì em chiến thắng	em sống bởi_vì em chiến thắng
hễ tôi hơi động vào mình nó , nó lại lè lưỡi ra y_như thường_ngày	tôi hơi động nó nó lè lưỡi
thời_đại biến_đổi thì văn_học cũng biến_đổi	thời_đại biến_đổi văn_học biến_đổi
bố ạ ! nếu thế_thì con đã gặp anh Sạ	bố con Sạ gặp
miễn_là đứng trên lập_trường tư_tưởng đại_chúng nhân_dân mà giải_quyết thì ta vẫn có_thể vận_dụng mọi hình_thức , ta vẫn hết_sức tự_do trong sự lựa_chọn đề_tài	trên lập_trường tư_tưởng đại_chúng nhân_dân mà giải_quyết thì ta hình_thức vận_dụng ta tự_do lựa_chọn đề_tài
văn có hay tác_phẩm mới có giá_trị	văn có tác_phẩm giá_trị có
Việt_Minh mà lên được thì dân đỡ khổ ông nhỉ	Việt_Minh lên thì dân khổ đỡ
tuy rất đẹp nhưng mùa nào thức ấy	tđẹp nhưng mùa nào thức ấy
tuy miệng cười_nói vậy_mà bụng ông cũng rối_bời lên	miệng cười_nói vậy_mà bụng ông rối_bời
mặc_dù vậy đối_với gia_đình vợ , Thứ vẫn cố_ý không thân_mật lắm	đối_với gia_đình vợ Thứ thân_mật cố_ý không
	
chiếc xe càng đến gần phố Hàng_Cót , Phượng càng hồi_hộp	xe đến gần phố Hàng_Cót Phượng hồi_hộp
ngoài kia tiếng gõ_cửa mạnh bao_nhiêu , trong này trống_ngực tôi mạnh bấy_nhiêu	ngoài kia tiếng gõ_cửa mạnh bao_nhiêu trong này trống_ngực tôi mạnh bấy_nhiêu
giai_cấp nào nắm quyền_sở_hữu về tư_liệu_sản_xuất thì giai_cấp đó là giai_cấp thống_trị	giai_cấp quyền_sở_hữu tư_liệu_sản_xuất nắm giai_cấp thống_trị
càng đi xuống phong_cách càng quen mắt	đi xuống phong_cách quen mắt
tôi cố nói rất tự_nhiên để anh không một_chút nghi_ngờ	tôi tự_nhiên nói anh không một_chút nghi_ngờ
để cho mẹ yên_tâm , cô thường viết thư cho mẹ	mẹ yên_tâm cô thường thư cho mẹ viết
anh đánh đàn cho tôi nghe	anh đàn đánh tôi nghe
vô_luận kẻ địch hung_bạo thế_nào , hễ đụng vào lực_lượng đó thì địch nào cũng phải tan_rã	vô_luận địch hung_bạo lực_lượng đụng thì địch tan_rã
đương_nhiên , không phải thơ nào cũng cách_mạng cả , nhưng có cách_mạng thì_có thơ	đương_nhiên không phải thơ nào cách_mạng cả nhưng có cách_mạng thì_có thơ
càng chiến_đấu oanh_liệt , càng thắng_lợi giòn_giã , càng sản_xuất càng xây_dựng khỏe bao_nhiêu , nhân_dân ta càng yêu_quý văn_nghệ bấy_nhiêu , bởi_vì văn_nghệ là tinh_hoa của cuộc_sống , là một sức_mạnh , là một vũ_khí chiến_đấu và để chiến_thắng	oanh_liệt chiến_đấu giòn_giã thắng_lợi sản_xuất xây_dựng khỏe nhân_dân văn_nghệ yêu_quý bởi_vì văn_nghệ tinh_hoa cuộc_sống là sức_mạnh vũ_khí chiến_đấu chiến_thắng
nhà_nước của chúng_ta thật_sự dân_chủ , vì nhà_nước đó thực_sự là của dân , sứ_mạng lịch_sử của nó là huy_động lực_lượng của nhân_dân để xây_dựng xã_hội mới , đời_sống mới , con_người mới	nhà_nước dân_chủ nhà_nước của dân lực_lượng nhân_dân huy_động xã_hội mới xây_dựng đời_sống mới con_người mới
cái cảnh trăng_tròn , gió mát , hồ lặng , trời xanh của trung_thu , lại làm cho các cháu vui_cười hớn_hở	trăng_tròn gió mát hồ lặng trời xanh trung_thu các cháu vui_cười hớn_hở
	
Trời ấm_áp	Trời ấm_áp
Không_khí êm_ả và trong_sạch	Không_khí êm_ả trong_sạch
ngoài xa , dòng_sông lào_xào vỗ sóng	xa dòng_sông sóng vỗ
Gió chạy loạt_soạt trong cỏ	Gió loạt_soạt chạy trong cỏ
trăng đã lên cao , đêm đã khuya lắm	trăng cao đêm khuya
muốn ấm_no thì_phải làm_gì	ấm_no làm_gì
Phải làm thế_nào	làm thế_nào
Phải tăng_gia_sản_xuất	tăng_gia_sản_xuất Phải
đợi A_Phủ nói xong với vợ , anh Liên thân_mật hỏi : Tây bắt A_Phủ mấy hôm	A_Phủ nói xong Liên thân_mật hỏi Tây A_Phủ bắt hôm mấy
Làm_sao mà trốn về được	trốn về Làm_sao
nó làm ra_vẻ ngạc_nhiên , không hề biết gì	nó ngạc_nhiên biết không gì
văn_học nghệ_thuật là gì , xưa_nay người_ta đã định_nghĩa nhiều rồi	văn_học nghệ_thuật xưa_nay người_ta đã định_nghĩa
dưới cờ Việt_Minh , đồng_bào hãy dũng_cảm tiến lên	dưới cờ Việt_Minh đồng_bào hãy dũng_cảm tiến lên
từ bấy_giờ đến bây_giờ , hơn sáu năm trời rồi	bấy_giờ bây_giờ hơn sáu năm
Biết_bao_nhiêu là sự đổi_thay	Biết_bao_nhiêu là đổi_thay
thật vĩ_đại , người chiến_sĩ trong gian_khổ nghìn_trùng càng cao vời_vợi ý_chí diệt thù cứu nước	vĩ_đại chiến_sĩ trong gian_khổ nghìn_trùng cao vời_vợi ý_chí thù diệt nước cứu
yêu Bác , lòng ta trong sách hơn	Bác yêu lòng ta trong sách hơn
lúc ấy có_thể nghe thấy một cái tác rất kêu	lúc ấy tát nghe
lúc ấy có_thể nghe thấy tiếng đấm_đá nhau bình_bịch	lúc ấy có_thể đấm_đá nghe bình_bịch
đấm_đá như_thế cứ gọi_là tan xương	đấm_đá như_thế tan xương
đại_bác ùng_oàng suốt đêm	đại_bác ùng_oàng suốt đêm
tiếng ùng_oàng của đại_bác nghe thưa dần	tiếng đại_bác ùng_oàng nghe thưa dần
có_tiếng đại_bác nổ ùng_oàng từ xa	xa có_tiếng đại_bác ùng_oàng
điều ấy tôi biết rồi	điều ấy tôi biết rồi
điều anh vừa nói ấy tôi biết rồi	điều anh vừa nói tôi biết
tôi đã xem trận ấy	tôi trận ấy đã xem
tôi đã xem đội ta đấu với đội bạn	tôi xem đội ta đội bạn đấu
vì lợi_ích chung ông_ta đã xin từ_chức	vì lợi_ích chung ông_ta từ_chức xin
Cụ Tú đã bạc hết cả tóc rồi	Cụ Tú tóc bạc hết
Cụ Tú tóc bạc hết cả rồi	Cụ Tú tóc bạc hết
ôi , cảnh ly_biệt mà_sao buồn vậy	ly_biệt mà_sao buồn
anh Đức này , anh lấy tôi làm vợ nhé	anh Đức anh tôi lấy làm vợ
ông Chưởng , phó của cha tôi , nay đã lên tướng	ông Chưởng phó cha tôi nay lên tướng
anh có biết ông ấy không , ông Văn ấy mà	anh ông ấy biết Văn
không ai nói_gì , mọi người lảng dần ra	ai nói_gì không mọi người lảng dần
không ai nói_gì , rồi mọi người lảng dần ra	ai nói_gì không mọi người lảng dần
không ai nói_gì nhưng mọi người lảng dần ra	ai nói_gì không nhưng mọi người lảng dần
không ai nói_gì nên mọi người lảng dần ra	ai nói_gì không nên mọi người lảng dần
tuy không ai nói_gì nhưng mọi người lãng dần ra	tuy ai nói_gì không nhưng mọi người lãng dần
vì không ai nói_gì nên mọi người lãng dần	vì ai nói_gì không nên mọi người lãng dần
đã bấy_lâu_nay bác tới nhà	đã bấy_lâu_nay bác tới nhà
trẻ thời đi vắng , chợ thời xa	trẻ thời đi vắng chợ thời xa
ao sâu nước cả , khôn chài cá	ao nước sâu khôn chài cá
vườn rộng rào thưa , khó duổi gà	vườn rộng rào thưa gà khó duổi
cải chửa ra cây , cà mới nụ	cải cây chửa ra cà nụ mới
bầu vừa rụng rốn , mướp ra hoa	bầu rốn rụng mướp hoa ra
đầu_trò tiếp khách trầu_không có	đầu_trò khách tiếp trầu_không có
bác đến chơi đây , ta với ta	bác đến chơi đây ta với ta
tôi cũng không biết	tôi không biết cũng
sao anh lại nói thế	anh nói sao
chuyện này nghiêm_trọng đây	chuyện này nghiêm_trọng
nhưng ai biết mà sợ	biết ai mà sợ
sau đây là vài điểm cần nói rõ thêm	sau đây vài điểm nói rõ cần
tôi không dính vào việc này	tôi dính không vào
anh cũng đừng nghi_ngờ gì anh_ấy	anh nghi_ngờ đừng anh_ấy
có những mười người vắng_mặt	có người mười vắng_mặt
gã kia làm hỏng cái máy mất	gã kia máy làm hỏng
nó cố_ý làm hỏng cái máy thật	nó máy làm hỏng cố_ý
Nam sẽ trúng_cử đó là một điều chắc_chắn	Nam trúng_cử là điều chắc_chắn
thế_mà quả thị , lạ thay , vẫn không rơi xuống	thế_mà quả thị rơi xuống không lạ
của_đáng_tội , nó có biết gì đâu	của_đáng_tội nó biết gì
luật này , như ai_nấy đều biết , có một phạm_vi hiệu luật rất hẹp	ai_nấy đều biết luật này phạm_vi hiệu luật hẹp
nó làm rách cái màn mất	nó cái màn làm rách
nó làm rách mất cái màn	nó cái màn làm rách
nó làm rách cái màn mất rồi	nó cái màn làm rách
vì không đọc kỹ đề , nó đã làm hỏng mất bài tập_làm_văn	đề đọc kỹ không nó tập_làm_văn hỏng
tớ sẽ được điểm 10 về môn toán một_cách chắc_chắn	tớ toán điểm 10 được
tôi chỉ tập_trung tư_tưởng được trong vòng một giờ đồng_hồ	tôi tư_tưởng tập_trung được một giờ
ông ấy làm_việc liên_tục suốt từ sáng đến chiều	ông ấy làm_việc sáng chiều liên_tục
nó làm hỏng bài tập_làm_văn vì không đọc kỹ đề_bài	nó tập_làm_văn làm hỏng vì đề_bài đọc không kỹ
suốt từ sáng đến chiều , ông ấy làm_việc liên_tục	sáng chiều ông ấy làm_việc liên_tục
chắc_chắn là tớ sẽ được điểm 10 về môn toán	tớ toán điểm 10 được chắc_chắn
nó hỏng kì thi này vì môn toán	nó toán thi hỏng
nó hỏng kì thi này vì dốt	nó thi hỏng vì dốt
nó hỏng kì thi này vì lạc_đề	nó thi hỏng vì lạc_đề
nó hỏng kì thi này vì đề thi khó quá	nó thi hỏng vì đề khó
em ơi buồn làm_chi	em buồn làm_chi
vần vấn_đề này thưa các bạn chúng_ta có rất nhiều ý_kiến	các bạn chúng_ta vấn_đề này ý_kiến nhiều có
cậu Vàng đi_đời rồi ông giáo ạ	ông giáo cậu Vàng đi_đời rồi
mà chàng quên chí cao vì sự_nghiệp	mà chàng sự_nghiệp chí cao vì
giời_ơi là giời , có chồng_con nhà nào như_thế không	giời_ơi giời có chồng_con nhà nào như_thế
sau trúc , ô_kìa	trúc sau ô_kìa
Xiêm_áo ai	Xiêm_áo ai
trời_đất ạ , có đời_nào như_vậy , cái thổ_tả gì cũng đắt	trời_đất có đời_nào như_vậy thổ_tả gì đắt cũng
vâng , mời bà cứ ngồi chơi thư_thả xơi nước , xơi trầu đã	mời bà ngồi chơi nước xơi trầu xơi
ô_hay , con làm_gì	ô_hay con làm_gì
vâng , tôi biết	vâng tôi biết
Tính ông Cửu nhà tôi nhân lão tâm bất lão	tính ông Cửu tôi nhân lão tâm bất lão
ô_hay , mẹ_con nó đi đâu cả rồi	ô_hay mẹ_con đâu
cô bé nhà bên ai_ngờ cũng là du_kích	cô bé nhà bên ai_ngờ là du_kích
ông Năm ấy mà , ông ấy tốt lắm	ông Năm tốt
điều ta không muốn thì không nên làm cho người khác	ta điều muốn không làm cho người khác nên không
bằng_lòng hay không thì cũng nói cho ngta biết	bằng_lòng hay không thì nói người_ta biết
dễ người dễ ta	dễ người dễ ta
	
lắm thầy rầy ma	thầy lắm ma rầy
tôi thì làm được	tôi làm được
con tôi đứa thì đi làm , đứa thì đi học	con tôi đứa làm đứa học
món này ăn thì ngon nhưng làm thì mất_công	món này ngon nhưng làm mất_công
việc này không chóng thì chầy cũng sẽ đưa đến kết_quả xấu	việc này không chóng thì chầy kết_quả xấu
anh_em ở đây không_ít_thì_nhiều đều có đóng_góp	anh_em ở đây không_ít_thì_nhiều đóng_góp có
hình_như anh hài_lòng lắm thì_phải	hình_như anh hài_lòng
anh Nam làm_việc thì chăm_chỉ	Nam làm_việc chăm_chỉ
anh Nam làm_việc chăm_chỉ	Nam làm_việc chăm_chỉ
anh mời thì tôi đến	anh mời tôi đến
anh mời tôi đến	anh mời tôi đến
thấy địch thì khai_triển đội_hình	địch thấy thì đội_hình khai_triển
thấy địch khai_triển đội_hình	địch thấy đội_hình khai_triển
khi tàu chạy thì về	tàu chạy thì về
khi tàu chạy về	khi tàu về
không làm , không ăn	làm không ăn không
không làm thì không ăn	làm không thì ăn không
cần gì , nói ngay đi	cần nói
cần gì thì nói ngay đi	cần thì nói
Không làm thì không ăn đấy nhé	làm không thì ăn không
cần gì thì nói ngay đi , thưa bẩm mãi	cần gì thì nói bẩm mãi
cần gì ? nói ngay đi	cần gì ? nói
chó treo , mèo đậy	chó treo mèo đậy
mềm nắn , rắn buông	mềm nắn rắn vuông
cá cả , lợn lớn	cá cả lợn lớn
trên thuận dưới hòa	trên thuận dưới hòa
trong thì ấm , ngoài thì êm	trong ấm ngoài êm
bói thì_ra ma , quét nhà thì_ra rác	bói thì_ra nhà quét rác thì_ra
trong có ấm thì ngoài mới có êm	trong ấm thì ngoài êm
bói mà ra ma thì quét nhà ra rác	bói ma ra thì nhà quét rác
trời thì mưa lâm_thâm	mưa lâm_thâm
làm_sao cho khỏi ướt	ướt làm_sao
mọi người đi trước cả rồi , còn tôi thì tôi sẽ đi_sau	mọi người đi rồi , tôi đi_sau sẽ
ai chứ , anh Ba thì khỏi phải giới_thiệu	giới_thiệu Ba phải khỏi
tôi thương mẹ nhất	tôi mẹ thương nhất
khi có nhiều mây đen thì sẽ có lũ_lụt	khi mây đen nhiều thì lũ_lụt có
khi trời mưa tạnh thì sẽ có cầu vòng	khi mưa tạnh cầu vòng có
anh tôi đánh ông bình	anh tôi Bình đánh
ông bình bị anh tôi đánh	anh tôi Bình đánh
cuốn sách đặt trên tập nhạc	tập nhạc cuốn sách trên
ra lấy áo_quần vào đi con	ra áo_quần lấy
con đã cất áo_quần vào chưa	con áo_quần cất chưa
sắp mưa rồi đấy	mưa sắp
tập nhạc đặt dưới cuốn sách	cuốn sách tập nhạc dưới
trời sắp mưa đến_nơi rồi kìa	mưa sắp
Lan ơi , mưa	Lan mưa
mày có ra lấy áo_quần vào không Lan	Lan ra áo_quần lấy
Mưa ướt hết bây_giờ	mưa ướt hết
con phải cất áo_quần vào kẻo mưa đến_nơi rồi đấy	con áo_quần cất mưa
nước sôi rồi	nước sôi rồi
trong phích có nước sôi đấy	phích nước sôi có
tôi rót nước sôi vào phích	tôi phích nước sôi rót
ông nói gà , bà nói vịt	gà ông nói vịt bà nói
ông thì nói gà , bà thì nói vịt	gà ông nói vịt bà nói
ông nói gà thì bà nói vịt	gà ông nói thì vịt bà nói
ông mà nói gà thì bà lại nói vịt	gà ông nói thì vịt bà nói
giờ ngủ thì các cháu im_lặng	giờ ngủ cháu im_lặng
ông ngủ thì các cháu nên im_lặng	ông ngủ cháu im_lặng
sách hay thì ai cũng thích đọc	sách hay ai đọc thích
sách hay người_ta mới thích đọc	sách hay người_ta đọc thích
sách mà hay thì ai cũng thích đọc	sách hay thì ai đọc thích
sách có hay thì người_ta mới thích đọc	sách hay có người_ta đọc thích
mẹ đi Hà_Nội rồi	mẹ Hà_Nội rồi
năm nay mưa ít quá	mưa năm nay ít
con mèo này không đẹp	con mèo này đẹp không
anh thì cần gì đến tôi	tôi anh cần gì
cụ Tú tóc đã bạc hết rồi	Tú tóc bạc hết rồi
vườn nhà tôi lá rụng nhiều	lá vườn nhà tôi rụng nhiều
có một người thì làm không xuể	người một làm xuể không
bây_giờ chưa muộn đâu	bây_giờ muộn chưa
tham thì thâm	tham thâm thì
bao_giờ trời nổi can_qua	trời nổi can_qua
con vua thất_thế lại đi quét chùa	vua con thất_thế chùa quét
hòn đất mà biết nói_năng thì thầy_địa_lý hàm_răng không còn	đất nói_năng biết thầy_địa_lý hàm_răng còn không
con Cún người_ta bắt mất rồi	cún người_ta bắt rồi
cây gạo đầu làng bị sét đánh_đổi rồi	đầu làng cây gạo sét đánh_đổ
còn con Cún đâu rồi	Cún đâu
con Cún thì người_ta bắt mất rồi	Cún người_ta bắt rồi
ai làm được_việc này	việc này làm được ai
tôi làm được	tôi được làm
nó chịu rồi , còn anh thì_có làm được không ạ	nó chịu rồi anh làm được
tôi thì làm được	tôi làm được
con tôi đứa thì đi làm , đứa thì đi học	con tôi đứa làm đứa học
món này ăn thì ngon nhưng làm thì mất_công	món này ngon nhưng làm mất_công
việc này không chóng thì chầy cũng sẽ đưa đến kết_quả xấu	việc này không chóng thì chầy kết_quả xấu
anh_em ở đây không_ít_thì_nhiều đều có đóng_góp	anh_em ở đây không_ít_thì_nhiều đóng_góp có
hình_như anh hài_lòng lắm thì_phải	hình_như anh hài_lòng
anh Nam làm_việc thì chăm_chỉ	Nam làm_việc chăm_chỉ
anh Nam làm_việc chăm_chỉ	Nam làm_việc chăm_chỉ
anh mời thì tôi đến	anh mời tôi đến
anh mời tôi đến	anh mời tôi đến
thấy địch thì khai_triển đội_hình	địch thấy thì đội_hình khai_triển
thấy địch khai_triển đội_hình	địch thấy đội_hình khai_triển
khi tàu chạy thì về	tàu chạy thì về
khi tàu chạy về	khi tàu về
không làm , không ăn	làm không ăn không
không làm thì không ăn	làm không thì ăn không
cần gì , nói ngay đi	cần nói
cần gì thì nói ngay đi	cần thì nói
Không làm thì không ăn đấy nhé	làm không thì ăn không
cần gì thì nói ngay đi , thưa bẩm mãi	cần gì thì nói bẩm mãi
cần gì ? nói ngay đi	cần gì ? nói
chó treo , mèo đậy	chó treo mèo đậy
mềm nắn , rắn buông	mềm nắn rắn vuông
cá cả , lợn lớn	cá cả lợn lớn
trên thuận dưới hòa	trên thuận dưới hòa
trong thì ấm , ngoài thì êm	trong ấm ngoài êm
bói thì_ra ma , quét nhà thì_ra rác	bói thì_ra nhà quét rác thì_ra
trong có ấm thì ngoài mới có êm	trong ấm thì ngoài êm
bói mà ra ma thì quét nhà ra rác	bói ma ra thì nhà quét rác
trời thì mưa lâm_thâm	mưa lâm_thâm
làm_sao cho khỏi ướt	ướt làm_sao
mọi người đi trước cả rồi , còn tôi thì tôi sẽ đi_sau	mọi người đi rồi , tôi đi_sau sẽ
ai chứ , anh Ba thì khỏi phải giới_thiệu	giới_thiệu Ba phải khỏi
nó thì nó chẳng tin được đâu	nó tin chẳng
nó thì chẳng tin được đâu	nó tin chẳng
thì_giờ là vàng_bạc	thì_giờ vàng_bạc
Hà_Nội thủ_đô nước ta	Hà_Nội thủ_đô nước ta
người là hoa đất	người hoa đất
nó chê cấm là nó ốm đấy	nó cấm chê nó ốm đấy
được tặng giải 1 một cậu_bé mười_hai tuổi	giải 1 cậu_bé mười_hai tuổi
trên thuận dưới hòa là hay nhất	trên thuận dưới hòa
trong đánh ra ngoài đánh vào thì nhất_định thắng	đánh trong ra ngoài đánh vào thì thắng nhất_định
ăn_có_nhai_nói_có_nghĩ thì mới là người khôn	ăn_có_nhai_nói_có_nghĩ là người khôn
khôn sống mống chết là một thực_tế xã_hội	khôn sống mống chết là xã_hội thực_tế
con_trâu đi trước cái cày theo sau thì còn lạc_hậu	con_trâu đi trước cày sau thì lạc_hậu còn
	
	
lỗi này tại ai thì tôi không biết	lỗi này tại ai tôi không biết
quan biết thì nó chết	quan biết nó chết
mai đã đi thì tôi chuẩn_bị không kịp	mai đi tôi chuẩn_bị không kịp
sen xa hồ sen khô hồ cạn	hồ sen xa hồ cạn
liễu xa đào liễu ngả đào nghiêng	liễu đào xa liễu ngả đào nghiêng
sớm mưa trưa nắng là anh yêu mình	mưa sớm nắng trưa là anh mình yêu
sông_cạn_đá_mòn anh vẫn thủy_chung	sông_cạn_đá_mòn anh thủy_chung vẫn
ai đi ai về nó cũng chẳng để_ý	đi ai về ai nó chẳng để_ý
sáng vác tối vác thì ai mà chả chán	vác sáng vác tối chán
đau quá	
đang bận lút đầu lút cổ	
đi đâu_đấy	đi đâu_đấy
khỏe chứ	
có đau không	đau có
cấm hút thuốc_lá	thuốc_lá hút cấm
không chạy xe trong sân	trong sân chạy xe không
coi_chừng mất xe	xe mất coi_chừng
phải tôn_trọng và giúp_đỡ người già_cả và phụ_nữ có_thai	tôn_trọng giúp_đỡ người già_cả phụ_nữ có_thai phải
cần ăn để mà sống chứ không phải sống để mà ăn	ăn sống cần chứ sống ăn không phải
ngồi xuống	
mời ngồi xuống	mời ngồi
quý_vị ngồi xuống đi	quý_vị ngồi
tôi mời quý_vị an_tọa	quý_vị an_tọa mời
cám_ơn các bạn	cám_ơn các bạn
cám_ơn các bác	cám_ơn các bác
khuya rồi	khuya rồi
nóng quá , sắp mưa rồi	nóng quá mưa sắp
như tranh_thủy_mặc ấy , đẹp quá	như tranh_thủy_mặc đẹp
nhiều bướm quá , có con đẹp quá kìa	bướm nhiều có con đẹp quá
tệ đến thế kia à	tệ thế
ở đây lúc này , trời nóng quá	ở đây lúc này nóng quá
ở đây lúc này , trời sắp mưa	ở đây lúc này mưa sắp
số tác_giả này nhận_định khác hẳn	tác_giả này nhận_định khác hẳn
đã bảo mà	bảo đã
	
một cái tát rất kêu	một tát rất kêu
tiếng đấm , tiếng đá nhau bình_bịch	đấm đá tiếng bình_bịch
họ đã bảo mà	họ bảo đã
phen này thì_phải biết	phen này thì_phải biết
lúc ấy có_thể nghe thấy một cái tác rất kêu	lúc ấy tát nghe
lúc ấy có_thể nghe thấy tiếng đấm_đá nhau bình_bịch	lúc ấy có_thể đấm_đá nghe bình_bịch
đấm_đá như_thế cứ gọi_là tan xương	đấm_đá như_thế tan xương
đại_bác ùng_oàng suốt đêm	đại_bác ùng_oàng suốt đêm
tiếng ùng_oàng của đại_bác nghe thưa dần	tiếng đại_bác ùng_oàng nghe thưa dần
đề_nghị các đồng_chí yên_lặng	đồng_chí đề_nghị yên_lặng
xin đề_nghị các đồng_chí yên_lặng	xin đồng_chí đề_nghị yên_lặng
tôi gửi các bạn lời chào thân_ái	tôi bạn gửi lời chào thân_ái
tôi xin gửi các bạn lời chào thân_ái	tôi bạn gửi lời chào thân_ái
	
tôi xin cảm_ơn	tôi cảm_ơn
các con không được cãi nhau nữa	con cãi nhau không được
anh kê cái bàn ấy ra đây cho đẹp	anh bàn kê đây đẹp
bác vào chơi xơi nước ạ	bác vào nước xơi
cái bông hoa này vẽ to quá	hoa này vẽ to
đường_sá lầy_lội kinh người	đường_sá lầy_lội kinh
chính anh làm hỏng việc chứ ai	anh làm hỏng
làm như_thế cũng được chứ sao	làm như_thế được chứ sao
