me co ay	co ay me
cai canh trang_tron , gio mat , ho lang , troi xanh cua trung_thu , lai lam cho cac chau vui_cuoi hon_ho	trang_tron gio mat ho lang troi xanh trung_thu cac chau vui_cuoi hon_ho
	
Troi am_ap	Troi am_ap
Khong_khi em_a va trong_sach	Khong_khi em_a trong_sach
ngoai xa , dong_song lao_xao vo song	xa dong_song song vo
Gio chay loat_soat trong co	Gio loat_soat chay trong co
trang da len cao , dem da khuya lam	trang cao dem khuya
muon am_no thi_phai lam_gi	am_no lam_gi
Phai lam the_nao	lam the_nao
Phai tang_gia_san_xuat	tang_gia_san_xuat Phai
doi A_Phu noi xong voi vo , anh Lien than_mat hoi : Tay bat A_Phu may hom	A_Phu noi xong Lien than_mat hoi Tay A_Phu bat hom may
Lam_sao ma tron ve duoc	tron ve Lam_sao
no lam ra_ve ngac_nhien , khong he biet gi	no ngac_nhien biet khong gi
van_hoc nghe_thuat la gi , xua_nay nguoi_ta da dinh_nghia nhieu roi	van_hoc nghe_thuat xua_nay nguoi_ta da dinh_nghia
duoi co Viet_Minh , dong_bao hay dung_cam tien len	duoi co Viet_Minh dong_bao hay dung_cam tien len
tu bay_gio den bay_gio , hon sau nam troi roi	bay_gio bay_gio hon sau nam
Biet_bao_nhieu la su doi_thay	Biet_bao_nhieu la doi_thay
that vi_dai , nguoi chien_si trong gian_kho nghin_trung cang cao voi_voi y_chi diet thu cuu nuoc	vi_dai chien_si trong gian_kho nghin_trung cao voi_voi y_chi thu diet nuoc cuu
yeu Bac , long ta trong sach hon	Bac yeu long ta trong sach hon
luc ay co_the nghe thay mot cai tac rat keu	luc ay tat nghe
luc ay co_the nghe thay tieng dam_da nhau binh_bich	luc ay co_the dam_da nghe binh_bich
dam_da nhu_the cu goi_la tan xuong	dam_da nhu_the tan xuong
dai_bac ung_oang suot dem	dai_bac ung_oang suot dem
tieng ung_oang cua dai_bac nghe thua dan	tieng dai_bac ung_oang nghe thua dan
co_tieng dai_bac no ung_oang tu xa	xa co_tieng dai_bac ung_oang
dieu ay toi biet roi	dieu ay toi biet roi
dieu anh vua noi ay toi biet roi	dieu anh vua noi toi biet
toi da xem tran ay	toi tran ay da xem
toi da xem doi ta dau voi doi ban	toi xem doi ta doi ban dau
vi loi_ich chung ong_ta da xin tu_chuc	vi loi_ich chung ong_ta tu_chuc xin
Cu Tu da bac het ca toc roi	Cu Tu toc bac het
Cu Tu toc bac het ca roi	Cu Tu toc bac het
oi , canh ly_biet ma_sao buon vay	ly_biet ma_sao buon
anh Duc nay , anh lay toi lam vo nhe	anh Duc anh toi lay lam vo
ong Chuong , pho cua cha toi , nay da len tuong	ong Chuong pho cha toi nay len tuong
anh co biet ong ay khong , ong Van ay ma	anh ong ay biet Van
khong ai noi_gi , moi nguoi lang dan ra	ai noi_gi khong moi nguoi lang dan
khong ai noi_gi , roi moi nguoi lang dan ra	ai noi_gi khong moi nguoi lang dan
khong ai noi_gi nhung moi nguoi lang dan ra	ai noi_gi khong nhung moi nguoi lang dan
khong ai noi_gi nen moi nguoi lang dan ra	ai noi_gi khong nen moi nguoi lang dan
tuy khong ai noi_gi nhung moi nguoi lang dan ra	tuy ai noi_gi khong nhung moi nguoi lang dan
vi khong ai noi_gi nen moi nguoi lang dan	vi ai noi_gi khong nen moi nguoi lang dan
da bay_lau_nay bac toi nha	da bay_lau_nay bac toi nha
tre thoi di vang , cho thoi xa	tre thoi di vang cho thoi xa
ao sau nuoc ca , khon chai ca	ao nuoc sau khon chai ca
vuon rong rao thua , kho duoi ga	vuon rong rao thua ga kho duoi
cai chua ra cay , ca moi nu	cai cay chua ra ca nu moi
bau vua rung ron , muop ra hoa	bau ron rung muop hoa ra
dau_tro tiep khach trau_khong co	dau_tro khach tiep trau_khong co
bac den choi day , ta voi ta	bac den choi day ta voi ta
toi cung khong biet	toi khong biet cung
sao anh lai noi the	anh noi sao
chuyen nay nghiem_trong day	chuyen nay nghiem_trong
nhung ai biet ma so	biet ai ma so
sau day la vai diem can noi ro them	sau day vai diem noi ro can
toi khong dinh vao viec nay	toi dinh khong vao
anh cung dung nghi_ngo gi anh_ay	anh nghi_ngo dung anh_ay
co nhung muoi nguoi vang_mat	co nguoi muoi vang_mat
ga kia lam hong cai may mat	ga kia may lam hong
no co_y lam hong cai may that	no may lam hong co_y
Nam se trung_cu do la mot dieu chac_chan	Nam trung_cu la dieu chac_chan
the_ma qua thi , la thay , van khong roi xuong	the_ma qua thi roi xuong khong la
cua_dang_toi , no co biet gi dau	cua_dang_toi no biet gi
luat nay , nhu ai_nay deu biet , co mot pham_vi hieu luat rat hep	ai_nay deu biet luat nay pham_vi hieu luat hep
no lam rach cai man mat	no cai man lam rach
no lam rach mat cai man	no cai man lam rach
no lam rach cai man mat roi	no cai man lam rach
vi khong doc ky de , no da lam hong mat bai tap_lam_van	de doc ky khong no tap_lam_van hong
to se duoc diem 10 ve mon toan mot_cach chac_chan	to toan diem 10 duoc
toi chi tap_trung tu_tuong duoc trong vong mot gio dong_ho	toi tu_tuong tap_trung duoc mot gio
ong ay lam_viec lien_tuc suot tu sang den chieu	ong ay lam_viec sang chieu lien_tuc
no lam hong bai tap_lam_van vi khong doc ky de_bai	no tap_lam_van lam hong vi de_bai doc khong ky
suot tu sang den chieu , ong ay lam_viec lien_tuc	sang chieu ong ay lam_viec lien_tuc
chac_chan la to se duoc diem 10 ve mon toan	to toan diem 10 duoc chac_chan
no hong ki thi nay vi mon toan	no toan thi hong
no hong ki thi nay vi dot	no thi hong vi dot
no hong ki thi nay vi lac_de	no thi hong vi lac_de
no hong ki thi nay vi de thi kho qua	no thi hong vi de kho
em oi buon lam_chi	em buon lam_chi
van van_de nay thua cac ban chung_ta co rat nhieu y_kien	cac ban chung_ta van_de nay y_kien nhieu co
cau Vang di_doi roi ong giao a	ong giao cau Vang di_doi roi
ma chang quen chi cao vi su_nghiep	ma chang su_nghiep chi cao vi
gioi_oi la gioi , co chong_con nha nao nhu_the khong	gioi_oi gioi co chong_con nha nao nhu_the
sau truc , o_kia	truc sau o_kia
Xiem_ao ai	Xiem_ao ai
troi_dat a , co doi_nao nhu_vay , cai tho_ta gi cung dat	troi_dat co doi_nao nhu_vay tho_ta gi dat cung
vang , moi ba cu ngoi choi thu_tha xoi nuoc , xoi trau da	moi ba ngoi choi nuoc xoi trau xoi
o_hay , con lam_gi	o_hay con lam_gi
vang , toi biet	vang toi biet
Tinh ong Cuu nha toi nhan lao tam bat lao	tinh ong Cuu toi nhan lao tam bat lao
o_hay , me_con no di dau ca roi	o_hay me_con dau
co be nha ben ai_ngo cung la du_kich	co be nha ben ai_ngo la du_kich
ong Nam ay ma , ong ay tot lam	ong Nam tot
dieu ta khong muon thi khong nen lam cho nguoi khac	ta dieu muon khong lam cho nguoi khac nen khong
bang_long hay khong thi cung noi cho ngta biet	bang_long hay khong thi noi nguoi_ta biet
de nguoi de ta	de nguoi de ta
	
lam thay ray ma	thay lam ma ray
toi thi lam duoc	toi lam duoc
con toi dua thi di lam , dua thi di hoc	con toi dua lam dua hoc
mon nay an thi ngon nhung lam thi mat_cong	mon nay ngon nhung lam mat_cong
viec nay khong chong thi chay cung se dua den ket_qua xau	viec nay khong chong thi chay ket_qua xau
anh_em o day khong_it_thi_nhieu deu co dong_gop	anh_em o day khong_it_thi_nhieu dong_gop co
hinh_nhu anh hai_long lam thi_phai	hinh_nhu anh hai_long
anh Nam lam_viec thi cham_chi	Nam lam_viec cham_chi
anh Nam lam_viec cham_chi	Nam lam_viec cham_chi
anh moi thi toi den	anh moi toi den
anh moi toi den	anh moi toi den
thay dich thi khai_trien doi_hinh	dich thay thi doi_hinh khai_trien
thay dich khai_trien doi_hinh	dich thay doi_hinh khai_trien
khi tau chay thi ve	tau chay thi ve
khi tau chay ve	khi tau ve
khong lam , khong an	lam khong an khong
khong lam thi khong an	lam khong thi an khong
can gi , noi ngay di	can noi
can gi thi noi ngay di	can thi noi
Khong lam thi khong an day nhe	lam khong thi an khong
can gi thi noi ngay di , thua bam mai	can gi thi noi bam mai
can gi ? noi ngay di	can gi ? noi
cho treo , meo day	cho treo meo day
mem nan , ran buong	mem nan ran vuong
ca ca , lon lon	ca ca lon lon
tren thuan duoi hoa	tren thuan duoi hoa
trong thi am , ngoai thi em	trong am ngoai em
boi thi_ra ma , quet nha thi_ra rac	boi thi_ra nha quet rac thi_ra
trong co am thi ngoai moi co em	trong am thi ngoai em
boi ma ra ma thi quet nha ra rac	boi ma ra thi nha quet rac
troi thi mua lam_tham	mua lam_tham
lam_sao cho khoi uot	uot lam_sao
moi nguoi di truoc ca roi , con toi thi toi se di_sau	moi nguoi di roi , toi di_sau se
ai chu , anh Ba thi khoi phai gioi_thieu	gioi_thieu Ba phai khoi
toi thuong me nhat	toi me thuong nhat
khi co nhieu may den thi se co lu_lut	khi may den nhieu thi lu_lut co
khi troi mua tanh thi se co cau vong	khi mua tanh cau vong co
anh toi danh ong binh	anh toi Binh danh
ong binh bi anh toi danh	anh toi Binh danh
cuon sach dat tren tap nhac	tap nhac cuon sach tren
ra lay ao_quan vao di con	ra ao_quan lay
con da cat ao_quan vao chua	con ao_quan cat chua
sap mua roi day	mua sap
tap nhac dat duoi cuon sach	cuon sach tap nhac duoi
troi sap mua den_noi roi kia	mua sap
Lan oi , mua	Lan mua
may co ra lay ao_quan vao khong Lan	Lan ra ao_quan lay
Mua uot het bay_gio	mua uot het
con phai cat ao_quan vao keo mua den_noi roi day	con ao_quan cat mua
nuoc soi roi	nuoc soi roi
trong phich co nuoc soi day	phich nuoc soi co
toi rot nuoc soi vao phich	toi phich nuoc soi rot
ong noi ga , ba noi vit	ga ong noi vit ba noi
ong thi noi ga , ba thi noi vit	ga ong noi vit ba noi
ong noi ga thi ba noi vit	ga ong noi thi vit ba noi
ong ma noi ga thi ba lai noi vit	ga ong noi thi vit ba noi
gio ngu thi cac chau im_lang	gio ngu chau im_lang
ong ngu thi cac chau nen im_lang	ong ngu chau im_lang
sach hay thi ai cung thich doc	sach hay ai doc thich
sach hay nguoi_ta moi thich doc	sach hay nguoi_ta doc thich
sach ma hay thi ai cung thich doc	sach hay thi ai doc thich
sach co hay thi nguoi_ta moi thich doc	sach hay co nguoi_ta doc thich
me di Ha_Noi roi	me Ha_Noi roi
nam nay mua it qua	mua nam nay it
con meo nay khong dep	con meo nay dep khong
anh thi can gi den toi	toi anh can gi
cu Tu toc da bac het roi	Tu toc bac het roi
vuon nha toi la rung nhieu	la vuon nha toi rung nhieu
co mot nguoi thi lam khong xue	nguoi mot lam xue khong
bay_gio chua muon dau	bay_gio muon chua
tham thi tham	tham tham thi
bao_gio troi noi can_qua	troi noi can_qua
con vua that_the lai di quet chua	vua con that_the chua quet
hon dat ma biet noi_nang thi thay_dia_ly ham_rang khong con	dat noi_nang biet thay_dia_ly ham_rang con khong
con Cun nguoi_ta bat mat roi	cun nguoi_ta bat roi
cay gao dau lang bi set danh_doi roi	dau lang cay gao set danh_do
con con Cun dau roi	Cun dau
con Cun thi nguoi_ta bat mat roi	Cun nguoi_ta bat roi
ai lam duoc_viec nay	viec nay lam duoc ai
toi lam duoc	toi duoc lam
no chiu roi , con anh thi_co lam duoc khong a	no chiu roi anh lam duoc
toi thi lam duoc	toi lam duoc
con toi dua thi di lam , dua thi di hoc	con toi dua lam dua hoc
mon nay an thi ngon nhung lam thi mat_cong	mon nay ngon nhung lam mat_cong
viec nay khong chong thi chay cung se dua den ket_qua xau	viec nay khong chong thi chay ket_qua xau
anh_em o day khong_it_thi_nhieu deu co dong_gop	anh_em o day khong_it_thi_nhieu dong_gop co
hinh_nhu anh hai_long lam thi_phai	hinh_nhu anh hai_long
anh Nam lam_viec thi cham_chi	Nam lam_viec cham_chi
anh Nam lam_viec cham_chi	Nam lam_viec cham_chi
anh moi thi toi den	anh moi toi den
anh moi toi den	anh moi toi den
thay dich thi khai_trien doi_hinh	dich thay thi doi_hinh khai_trien
thay dich khai_trien doi_hinh	dich thay doi_hinh khai_trien
khi tau chay thi ve	tau chay thi ve
khi tau chay ve	khi tau ve
khong lam , khong an	lam khong an khong
khong lam thi khong an	lam khong thi an khong
can gi , noi ngay di	can noi
can gi thi noi ngay di	can thi noi
Khong lam thi khong an day nhe	lam khong thi an khong
can gi thi noi ngay di , thua bam mai	can gi thi noi bam mai
can gi ? noi ngay di	can gi ? noi
cho treo , meo day	cho treo meo day
mem nan , ran buong	mem nan ran vuong
ca ca , lon lon	ca ca lon lon
tren thuan duoi hoa	tren thuan duoi hoa
trong thi am , ngoai thi em	trong am ngoai em
boi thi_ra ma , quet nha thi_ra rac	boi thi_ra nha quet rac thi_ra
trong co am thi ngoai moi co em	trong am thi ngoai em
boi ma ra ma thi quet nha ra rac	boi ma ra thi nha quet rac
troi thi mua lam_tham	mua lam_tham
lam_sao cho khoi uot	uot lam_sao
moi nguoi di truoc ca roi , con toi thi toi se di_sau	moi nguoi di roi , toi di_sau se
ai chu , anh Ba thi khoi phai gioi_thieu	gioi_thieu Ba phai khoi
no thi no chang tin duoc dau	no tin chang
no thi chang tin duoc dau	no tin chang
thi_gio la vang_bac	thi_gio vang_bac
Ha_Noi thu_do nuoc ta	Ha_Noi thu_do nuoc ta
nguoi la hoa dat	nguoi hoa dat
no che cam la no om day	no cam che no om day
duoc tang giai 1 mot cau_be muoi_hai tuoi	giai 1 cau_be muoi_hai tuoi
tren thuan duoi hoa la hay nhat	tren thuan duoi hoa
trong danh ra ngoai danh vao thi nhat_dinh thang	danh trong ra ngoai danh vao thi thang nhat_dinh
an_co_nhai_noi_co_nghi thi moi la nguoi khon	an_co_nhai_noi_co_nghi la nguoi khon
khon song mong chet la mot thuc_te xa_hoi	khon song mong chet la xa_hoi thuc_te
con_trau di truoc cai cay theo sau thi con lac_hau	con_trau di truoc cay sau thi lac_hau con
	
	
loi nay tai ai thi toi khong biet	loi nay tai ai toi khong biet
quan biet thi no chet	quan biet no chet
mai da di thi toi chuan_bi khong kip	mai di toi chuan_bi khong kip
sen xa ho sen kho ho can	ho sen xa ho can
lieu xa dao lieu nga dao nghieng	lieu dao xa lieu nga dao nghieng
som mua trua nang la anh yeu minh	mua som nang trua la anh minh yeu
song_can_da_mon anh van thuy_chung	song_can_da_mon anh thuy_chung van
ai di ai ve no cung chang de_y	di ai ve ai no chang de_y
sang vac toi vac thi ai ma cha chan	vac sang vac toi chan
dau qua	
dang ban lut dau lut co	
di dau_day	di dau_day
khoe chu	
co dau khong	dau co
cam hut thuoc_la	thuoc_la hut cam
khong chay xe trong san	trong san chay xe khong
coi_chung mat xe	xe mat coi_chung
phai ton_trong va giup_do nguoi gia_ca va phu_nu co_thai	ton_trong giup_do nguoi gia_ca phu_nu co_thai phai
can an de ma song chu khong phai song de ma an	an song can chu song an khong phai
ngoi xuong	
moi ngoi xuong	moi ngoi
quy_vi ngoi xuong di	quy_vi ngoi
toi moi quy_vi an_toa	quy_vi an_toa moi
cam_on cac ban	cam_on cac ban
cam_on cac bac	cam_on cac bac
khuya roi	khuya roi
nong qua , sap mua roi	nong qua mua sap
nhu tranh_thuy_mac ay , dep qua	nhu tranh_thuy_mac dep
nhieu buom qua , co con dep qua kia	buom nhieu co con dep qua
te den the kia a	te the
o day luc nay , troi nong qua	o day luc nay nong qua
o day luc nay , troi sap mua	o day luc nay mua sap
so tac_gia nay nhan_dinh khac han	tac_gia nay nhan_dinh khac han
da bao ma	bao da
	
mot cai tat rat keu	mot tat rat keu
tieng dam , tieng da nhau binh_bich	dam da tieng binh_bich
ho da bao ma	ho bao da
phen nay thi_phai biet	phen nay thi_phai biet
luc ay co_the nghe thay mot cai tac rat keu	luc ay tat nghe
luc ay co_the nghe thay tieng dam_da nhau binh_bich	luc ay co_the dam_da nghe binh_bich
dam_da nhu_the cu goi_la tan xuong	dam_da nhu_the tan xuong
dai_bac ung_oang suot dem	dai_bac ung_oang suot dem
tieng ung_oang cua dai_bac nghe thua dan	tieng dai_bac ung_oang nghe thua dan
de_nghi cac dong_chi yen_lang	dong_chi de_nghi yen_lang
xin de_nghi cac dong_chi yen_lang	xin dong_chi de_nghi yen_lang
toi gui cac ban loi chao than_ai	toi ban gui loi chao than_ai
toi xin gui cac ban loi chao than_ai	toi ban gui loi chao than_ai
	
toi xin cam_on	toi cam_on
cac con khong duoc cai nhau nua	con cai nhau khong duoc
anh ke cai ban ay ra day cho dep	anh ban ke day dep
bac vao choi xoi nuoc a	bac vao nuoc xoi
cai bong hoa nay ve to qua	hoa nay ve to
duong_sa lay_loi kinh nguoi	duong_sa lay_loi kinh
chinh anh lam hong viec chu ai	anh lam hong
lam nhu_the cung duoc chu sao	lam nhu_the duoc chu sao
lai muon voi tien nua chu gi	muon tien chu gi
anh phe_binh hay mat_sat toi day	anh toi phe_binh mat_sat
con hay con meo danh vo binh hoa	con hay con meo binh hoa vo
cau thich cho hon hay meo hon	cau cho meo thich hon
Nam tang em be keo hay nuoc_hoa	keo hay nuoc_hoa be Nam tang
minh di xe_lua hay may_bay	xe_lua hay may_bay minh di
cuoc hop hoan lai mot tuan hay nua thang	hop hoan mot tuan hay nua thang
ong co diem khong	ong diem co
con muon an don phai khong	con don muon
may co cam cai mom di khong	may mom cam
ong cho toi xin ti lua	ong lua toi xin
con hay ngung ngay cai viec dang danh_don ay	ngung ngay viec dang danh_don
may cam cai mom di	may mom cam
bo xuong day	bo xuong day
an gi to_lon day_da lam_sao	an gi to_lon day_da lam_sao
the_thi co kho cho toi khong	the_thi toi kho
nguoi dau ma vo_tam	nguoi dau ma vo_tam
to_quoc co bao_gio dep the_nay chang	to_quoc co bao_gio dep the_nay chang
nham thang quan_thu , ban	nham quan_thu ban
ngu di	
may oi , hay ngung troi	may troi hay ngung
la oi , dung rung nua	la oi rung dung
dung xanh nhu la , bac nhu voi	xanh nhu la bac nhu voi dung
hay tuoi mai mau xanh_tuoi anh thep	mau xanh_tuoi tuoi mai anh thep hay
xin cac ban giu trat_tu	xin ban trat_tu
cac ban giu trat_tu	ban trat_tu
cac ban co giu trat_tu khong nao	ban trat_tu khong
anh_ta co tai ma chang co duc	anh_ta tai co duc chang co
viec nay kho lam day	viec nay kho lam day
em oi , buon lam_chi	em buon lam_chi
the co kho khong	the kho co
nhung ngay toi dang song dang song bao_nhieu	nhung ngay toi song dang song bao_nhieu
dep qua nhi	dep qua
cuon truyen nay rat hay	cuon truyen nay hay
cuon truyen nay khong hay	cuon truyen nay hay khong
cuon truyen nay khong hay lam	cuon truyen nay hay khong
thanh nay khong dai bang thanh kia	thanh nay thanh kia khong dai bang
thanh nay ngan hon thanh kia	thanh nay thanh kia ngan hon
re thi_co re , nhung khong dep	re thi_co re nhung dep khong
no co gian anh that , nhung khong ghet anh dau	anh no gian co nhung ghet khong
chau da lam bai thi toan	chau bai thi toan lam da
bai thi toan chau duoc nua diem	bai thi toan chau nua diem
vi_the la nhieu doi_voi chau	vi_the doi_voi chau nhieu
chau ken qua day	chau ken qua
con bac con tien con de_tu	bac con tien con de_tu con
Nam treu em be	be Nam treu
em be khoc	be khoc
gio danh canh tre	canh tre gio danh
gio thoi , may bay	thoi gio bay may
cong_viec dang bon_be	cong_viec bon_be
moi li_thuyet deu xam	li_thuyet moi xam deu
Nam la hoc_sinh gioi	Nam hoc_sinh gioi
dang tiec that	that tiec
den dem da bat , san_bay lai bat_dau lam_viec	den dem bat san_bay bat_dau lam_viec
vao dau tre cung song , o dau tre cung xanh tot	vao dau tre song dau tre xanh tot
nuoc reo quanh chan lua , lua rung len , long nguoi cung rung len	nuoc quanh chan lua reo lua rung long nguoi rung
ngoai dinh , trong lai thuc , mo lai khua , tu_va ruc lien_thanh bat chi	ngoai dinh trong thuc mo khua tu_va lien_thanh ruc
cam ong banh ra , mat ong tron_trung , ca nguoi ong nhu mot pho tuong bang dong_den cuon_cuon nhung bap_thit	cam ong banh ra mat tron_trung ca nguoi pho tuong bang dong_den cuon_cuon bap_thit
nhung chiec o_to chay di , chay lai nhu nhung con_thoi , may_bay_phan_luc rit ao_ao va len_loi giua tat_ca nhung o_to , may_bay ay co mot chiec xe_dap ba banh	o_to chay di chay nhu con_thoi may_bay_phan_luc rit va len_loi may_bay chiec xe_dap ba banh co
cai Ty hai hang nuoc_mat rong_rong , hon_hit cac em mot luot , roi lui_thui , no doi me non tren dau va cap goi ao vao nach	Ty nuoc_mat rong_rong em hon_hit non doi me tren dau goi ao vao nach cap
nuoc ta la mot , dan_toc ta la mot	nuoc mot dan_toc mot
nhan_dan nhu nuoc , bo_doi nhu ca	nhan_dan nuoc bo_doi ca
moi nguoi di roi chi con thang be Tun o nha	nguoi di chi con thang be Tun nha o
hoa buoi thom roi : dem da khuya	hoa buoi thom dem khuya
Luong bat den_pin nhin dong_ho tay : hai gio ruoi sang	Luong den_pin bat dong_ho tay nhin gio hai ruoi sang
ben ve duong co hai cha_con lam_ruong : cha danh cay , con dap dat	ve duong cha_con lam_ruong hai cha cay danh con dat dap
may_va co kho thi moi_phai hoc	may_va kho thi moi_phai hoc
minh em nay nuong thi khong kip	em ay nuong khong kip
chua noi da cuoi la nguoi vo_duyen	noi chua cuoi da nguoi vo_duyen
Cao_Bang gao_trang_nuoc_trong	Cao_Bang gao_trang_nuoc_trong
ngon den khi to khi mo	den khi to khi mo
mon nay an thi ngon lam thi ton cong	mon nay ngon an ton cong lam
o day truoc la sau quen	o day la truoc quen sau
luc nay gao_chau_cui_que	luc nay gao_chau_cui_que
lam cho thi than_tan_ma_dai	
ai ve ai o mac ai	ve ai o ai mac ai
tren thuan duoi hoa la hay nhat	tren thuan duoi hoa
trong danh ra ngoai danh vao thi nhat_dinh thang	danh trong ra ngoai danh vao thi thang nhat_dinh
an_co_nhai_noi_co_nghi thi moi la nguoi khon	an_co_nhai_noi_co_nghi la nguoi khon
khon song mong chet la mot thuc_te xa_hoi	khon song mong chet la xa_hoi thuc_te
con_trau di truoc cai cay theo sau thi con lac_hau	con_trau di truoc cay sau thi lac_hau con
	
	
loi nay tai ai thi toi khong biet	loi nay tai ai toi khong biet
quan biet thi no chet	quan biet no chet
mai da di thi toi chuan_bi khong kip	mai di toi chuan_bi khong kip
sen xa ho sen kho ho can	ho sen xa ho can
lieu xa dao lieu nga dao nghieng	lieu dao xa lieu nga dao nghieng
som mua trua nang la anh yeu minh	mua som nang trua la anh minh yeu
song_can_da_mon anh van thuy_chung	song_can_da_mon anh thuy_chung van
ai di ai ve no cung chang de_y	di ai ve ai no chang de_y
sang vac toi vac thi ai ma cha chan	vac sang vac toi chan
dau qua	
dang ban lut dau lut co	
di dau_day	di dau_day
khoe chu	
co dau khong	dau co
cam hut thuoc_la	thuoc_la hut cam
khong chay xe trong san	trong san chay xe khong
coi_chung mat xe	xe mat coi_chung
phai ton_trong va giup_do nguoi gia_ca va phu_nu co_thai	ton_trong giup_do nguoi gia_ca phu_nu co_thai phai
can an de ma song chu khong phai song de ma an	an song can chu song an khong phai
ngoi xuong	
moi ngoi xuong	moi ngoi
quy_vi ngoi xuong di	quy_vi ngoi
toi moi quy_vi an_toa	quy_vi an_toa moi
cam_on cac ban	cam_on cac ban
cam_on cac bac	cam_on cac bac
khuya roi	khuya roi
nong qua , sap mua roi	nong qua mua sap
nhu tranh_thuy_mac ay , dep qua	nhu tranh_thuy_mac dep
nhieu buom qua , co con dep qua kia	buom nhieu co con dep qua
te den the kia a	te the
o day luc nay , troi nong qua	o day luc nay nong qua
o day luc nay , troi sap mua	o day luc nay mua sap
so tac_gia nay nhan_dinh khac han	tac_gia nay nhan_dinh khac han
da bao ma	bao da
	
mot cai tat rat keu	mot tat rat keu
tieng dam , tieng da nhau binh_bich	dam da tieng binh_bich
ho da bao ma	ho bao da
phen nay thi_phai biet	phen nay thi_phai biet
luc ay co_the nghe thay mot cai tac rat keu	luc ay tat nghe
luc ay co_the nghe thay tieng dam_da nhau binh_bich	luc ay co_the dam_da nghe binh_bich
dam_da nhu_the cu goi_la tan xuong	dam_da nhu_the tan xuong
dai_bac ung_oang suot dem	dai_bac ung_oang suot dem
tieng ung_oang cua dai_bac nghe thua dan	tieng dai_bac ung_oang nghe thua dan
co_tieng dai_bac no ung_oang tu xa	xa co_tieng dai_bac ung_oang
dieu ay toi biet roi	dieu ay toi biet roi
dieu anh vua noi ay toi biet roi	dieu anh vua noi toi biet
toi da xem tran ay	toi tran ay da xem
toi da xem doi ta dau voi doi ban	toi xem doi ta doi ban dau
vi loi_ich chung ong_ta da xin tu_chuc	vi loi_ich chung ong_ta tu_chuc xin
Cu Tu da bac het ca toc roi	Cu Tu toc bac het
Cu Tu toc bac het ca roi	Cu Tu toc bac het
oi , canh ly_biet ma_sao buon vay	ly_biet ma_sao buon
anh Duc nay , anh lay toi lam vo nhe	anh Duc anh toi lay lam vo
ong Chuong , pho cua cha toi , nay da len tuong	ong Chuong pho cha toi nay len tuong
anh co biet ong ay khong , ong Van ay ma	anh ong ay biet Van
khong ai noi_gi , moi nguoi lang dan ra	ai noi_gi khong moi nguoi lang dan
khong ai noi_gi , roi moi nguoi lang dan ra	ai noi_gi khong moi nguoi lang dan
khong ai noi_gi nhung moi nguoi lang dan ra	ai noi_gi khong nhung moi nguoi lang dan
khong ai noi_gi nen moi nguoi lang dan ra	ai noi_gi khong nen moi nguoi lang dan
tuy khong ai noi_gi nhung moi nguoi lang dan ra	tuy ai noi_gi khong nhung moi nguoi lang dan
vi khong ai noi_gi nen moi nguoi lang dan	vi ai noi_gi khong nen moi nguoi lang dan
da bay_lau_nay bac toi nha	da bay_lau_nay bac toi nha
tre thoi di vang , cho thoi xa	tre thoi di vang cho thoi xa
ao sau nuoc ca , khon chai ca	ao nuoc sau khon chai ca
vuon rong rao thua , kho duoi ga	vuon rong rao thua ga kho duoi
cai chua ra cay , ca moi nu	cai cay chua ra ca nu moi
bau vua rung ron , muop ra hoa	bau ron rung muop hoa ra
dau_tro tiep khach trau_khong co	dau_tro khach tiep trau_khong co
bac den choi day , ta voi ta	bac den choi day ta voi ta
toi cung khong biet	toi khong biet cung
sao anh lai noi the	anh noi sao
chuyen nay nghiem_trong day	chuyen nay nghiem_trong
nhung ai biet ma so	biet ai ma so
sau day la vai diem can noi ro them	sau day vai diem noi ro can
toi khong dinh vao viec nay	toi dinh khong vao
anh cung dung nghi_ngo gi anh_ay	anh nghi_ngo dung anh_ay
dung ra san , ngoai ay ret lam	san ra dung ngoai ay ret
ba ay danh con cho du qua , lam nhu_the khong co tac_dung giao_duc	ba ay cho danh qua nhu_the tac_dung khong co
toi khong muon di , va_lai da muon roi	toi di khong muon va_lai muon roi
	
cam_on bac	
chau cam_on bac	
chau cam_on bac a	
cuon Chi_Pheo o duoi chong tap_chi	cuon Chi_Pheo o duoi tap_chi
duoi chong tap_chi co cuon Chi_Pheo	duoi tap_chi co cuon Chi_Pheo
chong tap_chi o tren cuon Chi_Pheo	tap_chi tren cuon Chi_Pheo
cai xe mau do ay moi la xe cua toi	xe mau do la xe cua toi
xe cua toi la cai mau do ay	xe cua toi mau do
an nhieu qua thi moi sinh_benh chu	an nhieu sinh_benh
sinh_benh dau phai tai an , ma tai an nhieu qua day chu	sinh_benh dau phai tai an nhieu
ai chu no thi khong tin duoc	no khong tin
ga cua ong Tu chet mat hai con	ong Tu ga hai chet
anh_ay da giet ong Ba	anh_ay ong Ba giet
anh_ay da lay tien ong Ba	ong Ba anh_ay lay tien
toi khong tieu tien_cua ong Ba	toi ong Ba tieu tien_cua khong
no phai giai nhieu bai	no nhieu bai phai giai
no giai duoc nam bai , thi ba bai dung	no bai nam ba dung
con hai bai kia thi sai	con hai sai
